
All pairs: 30 (12 bigcap, 18 midcap)
730d daily · ATR*1.5 stop, no target, 14d hold · 0.25% round trip

rank strategy                          |     n    WR    avgR    RR |  BIGCAP: n    WR    avgR    RR |  MIDCAP: n    WR    avgR    RR |     t
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1. RARE (as shipped, scoped)        |   102  64.7%   0.911  1.99 |    102  64.7%   0.911  1.99 |      0  thin       —     — |   4.91
  2. new-52w-high                     |    42  40.5%   0.897  3.70 |     23  52.2%   1.129  3.00 |     19  thin       —     — |   1.79
  3. cup-handle                       |    30  46.7%   0.756  2.75 |     13  thin       —     — |     17  thin       —     — |   2.08
  4. RARE cup-forming+confluence      |   186  54.3%   0.673  2.22 |    111  64.0%   0.838  1.94 |     75  40.0%   0.430  2.76 |   4.94
  5. near-52w-high                    |   440  37.5%   0.407  2.73 |    262  37.4%   0.352  2.60 |    178  37.6%   0.486  2.90 |   3.57
  6. ANY kind + confluence>=2         |  4269  38.0%   0.323  2.51 |   2158  42.1%   0.436  2.44 |   2111  33.9%   0.208  2.59 |   9.46
  7. volume-surge                     |  1006  36.0%   0.321  2.74 |    359  40.7%   0.508  2.78 |    647  33.4%   0.218  2.70 |   4.15
  8. ma-alignment                     |  1853  35.5%   0.192  2.39 |    905  38.7%   0.288  2.38 |    948  32.5%   0.101  2.41 |   4.21
  9. death-cross                      |   694  53.5%   0.115  1.12 |    261  51.0%   0.174  1.33 |    433  55.0%   0.079  0.99 |   2.78
 10. cup-forming                      |   885  42.5%   0.114  1.67 |    436  48.6%   0.207  1.55 |    449  36.5%   0.024  1.81 |   2.29
 11. vcp                              |  2928  34.3%   0.111  2.26 |   1339  38.1%   0.251  2.35 |   1589  31.1%  -0.006  2.20 |   2.80
 12. fvg-bullish                      |  1771  31.6%   0.090  2.47 |    694  34.0%   0.196  2.56 |   1077  30.1%   0.023  2.40 |   1.67
 13. RANDOM entry (control)           |  1800  35.7%   0.084  2.07 |    720  38.8%   0.226  2.23 |   1080  33.7%  -0.010  1.93 |   1.89
 14. rebound-down                     |  3310  45.0%   0.048  1.34 |   1250  41.7%   0.010  1.43 |   2060  47.0%   0.070  1.29 |   2.17
 15. bos-bullish                      |  1221  31.9%   0.018  2.19 |    464  36.9%   0.173  2.22 |    757  28.9%  -0.077  2.17 |   0.33
 16. volume-surge-down                |   962  44.2%   0.015  1.30 |    362  43.1%   0.015  1.36 |    600  44.8%   0.015  1.27 |   0.39
 17. macd-bearish                     |  8331  44.0%   0.013  1.31 |   3061  42.3%   0.069  1.55 |   5270  45.0%  -0.020  1.17 |   0.94
 18. macd-bullish                     |  9345  32.6%   0.010  2.10 |   3465  36.3%   0.089  2.02 |   5880  30.4%  -0.036  2.16 |   0.51
 19. rebound                          |  2922  32.1%  -0.001  2.11 |   1165  35.5%   0.109  2.16 |   1757  29.9%  -0.074  2.08 |  -0.04
 20. mean-reversion                   |   479  39.2%  -0.002  1.54 |    167  42.5%  -0.093  1.01 |    312  37.5%   0.047  1.87 |  -0.02
 21. momentum-laggard                 |  5950  44.7%  -0.018  1.19 |   1776  40.3%  -0.167  1.02 |   4174  46.5%   0.045  1.26 |  -1.24
 22. bos-bearish                      |  1468  42.5%  -0.028  1.28 |    504  43.3%   0.050  1.44 |    964  42.1%  -0.069  1.19 |  -0.91
 23. ob-bearish                       |  1443  42.3%  -0.044  1.25 |    520  41.2%  -0.083  1.21 |    923  42.9%  -0.021  1.28 |  -1.37
 24. mean-reversion-short             |   606  39.4%  -0.055  1.40 |    241  34.9%  -0.239  1.19 |    365  42.5%   0.067  1.51 |  -1.04
 25. ob-bullish                       |  1331  31.3%  -0.055  2.01 |    509  36.0%   0.075  2.01 |    822  28.3%  -0.136  2.02 |  -1.11
 26. fvg-bearish                      |  2221  41.9%  -0.113  1.08 |    796  39.8%  -0.107  1.21 |   1425  43.1%  -0.116  1.01 |  -4.99
 27. near-52w-low                     |   256  37.1%  -0.148  1.23 |     92  32.6%  -0.247  1.29 |    164  39.6%  -0.092  1.23 |  -2.07
 28. momentum                         |  2786  27.1%  -0.355  1.23 |   1257  31.9%  -0.199  1.45 |   1529  23.1%  -0.483  0.97 | -16.94
 29. distribution                     |   431  29.2%  -0.405  0.95 |    217  35.0%  -0.235  1.08 |    214  23.4%  -0.576  0.81 |  -8.39
 30. golden-cross                     |   503  20.3%  -0.496  1.30 |    189  14.3%  -0.698  0.93 |    314  23.9%  -0.375  1.45 |  -9.28

